Questions,Réponses
Quel pays a environ 66 millions d'habitant (sans déterminant) ?,France
Quelle est la capitale de l’Angleterre (sans déterminant) ?,Londre
Combien de couleur comporte le drapeau de l’Allemagne ?,3
En chiffres : trois cent cinquante quatre mille six cent deux s'écrit (sans espace) :,354602
Combien de planètes comporte le système solaire ?,8
Que signifie le mot « hand » en anglais (sans déterminant) ?,main
Combien de coupe du monde l’équipe de France de football a t-elle remportée ?,2
Quel est le prénom et le nom du père de la famille Simpson ?,Homer Simpson
Dans quel continent se situe l’Australie (sans déterminant et sans accent) ?,Oceanie
Le nom « abeille » est-il masculin ou féminin (sans déterminant et sans accent) ?,feminin
Quel est le prénom et le nom du peintre ayant réalisé « la Joconde » (sans accent) ?,Leonard de Vinci
Quelle est la capitale de l’Espagne (sans déterminant) ?,Madrid
Le football est-il un sport collectif ou individuel (sans déterminant) ?,collectif
Comment dit-on « violet » en anglais (sans déterminant) ?,purple
Quel est le sujet dans la phrase "Marie va chez ses grands-parents" (sans déterminant) ?,Marie
Qui est le prénom et le nom de l'auteur de la fable "le Corbeau et le Renard" (sans déterminant) ?,Jean de la Fontaine
Quel est le prénom et le nom du président français ayant été élu en 2017 ainsi qu'en 2022 ?,Emmanuel Macron
Quelle est la langue officielle des Pays-Bas (sans déterminant et sans accent) ?,neerlandais
Dans quel pays se trouve la ville de Berlin (sans déterminant) ?,Allemagne
De quelle monnaie ce symbole est-il la représentation : $ (sans déterminant) ?,dollar
A quel point cardinal correspond la lettre N (sans déterminant) ?,Nord
Comment appelle-t-on la glace qui peut se former sur la route en hiver (sans déterminant) ?,verglas
Quel animal est le « meilleur ami de l’homme » (sans déterminant) ?,chien
Quel est le pluriel du nom "travail" (sans déterminant) ?,travaux
De quel pays Pékin est-elle la capitale (sans déterminant) ?,Chine
Combien de poumon comporte le corps humain ?,2
Combien y a-t-il de départements en France métropolitaine ?,96
Quelle ville française appelle-t-on « la ville rose » (sans déterminant) ?,Toulouse
Dans la cour de récréation les enfants jouent à "Un deux trois…" (sans déterminant),Soleil
Réponds à l'énigme : Dans la famille de Léo il y a quatre enfants : Lily Lilo Lila et… (sans déterminant et sans accent),Leo
Quel est le pluriel du mot "genou" (sans déterminant) ?,genoux
Que signifie « cat » en anglais (sans déterminant) ?,chat
Quel est la capitale de France (sans déterminant) ?,Paris
Combien y a-t-il de lettres dans l'alphabet ?,26
Combien y a-t-il de mois dans une année ?,12
Quel est le premier jour de la semaine (sans déterminant) ?,Lundi
A quel âge deviens t-on majeur en France ?,18
Dans quel pays se trouve la Tour Eiffel (sans déterminant) ?,France
En quelle année à débutée la 1ère guerre mondiale ?,1914
En quelle année à débutée la 2nd guerre mondiale ?,1939
En mélangeant du bleu et du rouge j'obtiens...? (sans déterminant),Violet
En mélangeant du rouge et du jaune j'obtiens...? (sans déterminant),Orange
En mélangeant du jaune et du bleu j'obtiens...? (sans déterminant),Vert
Quel est le nom du plus grand océan sur Terre ? (sans déterminant),Pacifique
Quel est le nom de l'animal changeant de couleur afin de se camoufler (sans déterminant) ?,Cameleon
Quel explorateur a découvert l'Amérique en 1492 ?,Christophe Colomb
Combien y a-t-il d'États au USA ?,50
Combien y a-t-il de minutes dans une heure ?,60
Quel est l'antonyme de riche (sans déterminant) ?,Pauvre
Combien y a-t-il d'heures dans une journée ? [En heures],24
Comment s'appelle le rôle d'une personne racontant l'histoire d'un conte (sans déterminant) ?,narrateur
Quel organe utilise-t-on pour respirer (sans déterminant) ?,Poumon
Combien y a-t-il de jours dans une année non bisextile ?,365
Comment s'appellent les animaux qui se nourrissent uniquement de végétaux et de plantes (sans déterminant) ?,Herbivore
Quelle est la capitale de la Bulgarie (sans déterminant) ?,Sofia
Comment s'appelle la ligne imaginaire séparant la Terre en Deux (sans déterminant) ?,Equateur
De quel coté se lève le soleil (sans déterminant) ?,Est
De quel coté se couche le soleil (sans déterminant) ?,Ouest
Quel est l'endroit le plus froid sur Terre (sans déterminant) ?,Antarctique
Qui est l'auteur du roman "Les Misérables" ?,Victor Hugo
Les êtres humains sont-ils omnivores / herbivores ou carnivores (sans déterminant) ?,omnivores
Comment nomme t-on le résultat d'une multiplication (sans déterminant) ?,Produit
En quelle année a eu lieu la révolution française ?,1789
Quel est le plus grand pays du monde (sans déterminant) ?,Russie
Quel pays dispose d'une forme semblable à une botte (sans déterminant) ?,Italie
Combien de pattes compte une araignée (sans déterminant) ?,8
Sur quel continent se trouve la France (sans déterminant) ?,Europe
Quel est l'animal terrestre le plus rapide du monde (sans déterminant et sans accent) ?,Guepard
Quel partie du corps nous permet d'entendre (sans déterminant) ?,Oreille
Quel partie du corps nous permet de voir (sans déterminant) ?,Oeil
Quel partie du corps nous permet de sentir (sans déterminant) ?,Nez
Quel partie du corps nous permet le toucher (sans déterminant) ?,Main
Quel partie du corps nous donne le goût (sans déterminant) ?,Langue
Comment appelle t-on la représentation de la Terre sous forme de carte (sans déterminant et sans accent) ?,Planisphere
En chiffre Romain que signifie IX ?,9
En chiffre Romain que signifie L ?,50
En chiffre Romain que signifie C ?,100
En chiffre Romain que signifie D ?,500
En chiffre Romain que signifie M ?,1000
Quel est la température normale du corp humain (en degrés) ?,37
Combien d'heures me faudra t-il pour parcourir 100 km si je roule a 25 km/h (en heures) ?,4
Par quoi était entouré les chateaux au Moyen Age (sans déterminant et au pluriel) ?,Douves
Où se situe l'Espagne par rapport à la France (sans déterminant) ?,Sud
